Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kecamatan,Page
"3,9 Miliar",4,5,1,LT : 200 m²,LB : 410 m²,Cinere,131
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,131
385 Juta,3,2,1,LT : 50 m²,LB : 660 m²,Cipayung,131
658 Juta,2,2,2,LT : 78 m²,LB : 54 m²,Pancoran Mas,131
"1,9 Miliar",4,3,1,LT : 114 m²,LB : 152 m²,Cinere,131
"7,5 Miliar",6,2,2,LT : 750 m²,LB : 350 m²,Cinere,131
"1,3 Miliar",3,3,1,LT : 108 m²,LB : 84 m²,Cinere,131
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,131
"2,4 Miliar",3,2,LT:120 m²,LB : 180 m²,,Cinere,131
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,131
"1,55 Miliar",3,2,LT:108 m²,LB : 76 m²,,Cinere,131
"7,9 Miliar",5,4,4,LT : 335 m²,LB : 425 m²,Gandul,131
"5,9 Miliar",27,28,1,LT : 252 m²,LB : 260 m²,Kukusan,131
885 Juta,3,2,1,LT : 45 m²,LB : 69 m²,Kelapa Dua,131
"2,5 Miliar",4,3,LT:200 m²,LB : 280 m²,,Cimanggis,131
"5,35 Juta /m²",2,20,LT:19000 m²,LB : 3000 m²,,Cilodong,131
58 Juta,4,2,2,LT : 138 m²,LB : 100 m²,Cilodong,131
"1,4 Miliar",5,4,2,LT : 134 m²,LB : 260 m²,Limo,131
"1,45 Miliar",2,2,LT:120 m²,LB : 150 m²,,Cimanggis,131
"45,2 Miliar Total",LT:6020 m²,,,,,Depok I,131
425 Juta,2,1,1,LT : 60 m²,LB : 39 m²,Cipayung,132
"8,9 Miliar",3,2,3,LT : 570 m²,LB : 320 m²,Cinere,132
"1,3 Miliar",3,3,2,LT : 73 m²,LB : 100 m²,Tanah Baru,132
"1,35 Miliar",3,2,2,LT : 107 m²,LB : 80 m²,Beji,132
"1,35 Miliar",4,2,2,LT : 108 m²,LB : 120 m²,Sukatani,132
8 Miliar Total,LT:1032 m²,,,,,Cimanggis,132
230 Juta,1,1,LB:20 m²,,,Margonda,132
530 Juta,2,1,LT:62 m²,LB : 45 m²,,Pancoran Mas,132
"3,85 Miliar Total",LT:350 m²,,,,,Cinere,132
"16,7 Miliar",4,2,LT:880 m²,LB : 300 m²,,Margonda,132
10 Miliar Total,LT:1903 m²,,,,,Cimanggis,132
325 Juta,2,1,1,LT : 48 m²,LB : 45 m²,Cilodong,132
"3,4 Miliar",4,5,2,LT : 180 m²,LB : 250 m²,Harjamukti,132
575 Juta,2,1,LB:50 m²,,,Margonda,132
"6,6 Miliar",3,3,2,LT : 663 m²,LB : 273 m²,Cinere,132
"2,8 Miliar",3,2,LT:182 m²,LB : 170 m²,,Cinere,132
350 Juta,2,1,1,LT : 53 m²,LB : 36 m²,Depok I,132
"11,9 Miliar Total",LT:1249 m²,,,,,Cinere,132
"1,15 Miliar",3,3,LT:82 m²,LB : 90 m²,,Margonda,132
"2,47 Miliar",4,4,2,LT : 120 m²,LB : 160 m²,Beji,132
"1,3 Miliar",2,2,1,LT : 66 m²,LB : 47 m²,Sawangan,133
"2,8 Miliar",4,3,4,LT : 300 m²,LB : 300 m²,Limo,133
985 Juta,3,2,LT:60 m²,LB : 110 m²,,Margonda,133
"1,6 Miliar",5,3,LT:90 m²,LB : 150 m²,,Margonda,133
"1,6 Miliar",3,3,1,LT : 138 m²,LB : 180 m²,Cimanggis,133
650 Juta,2,1,1,LT : 60 m²,LB : 41 m²,Cinangka,133
795 Juta,3,2,1,LT : 60 m²,LB : 60 m²,Cinangka,133
3 Miliar,3,3,4,LT : 500 m²,LB : 150 m²,Sawangan,133
761 Juta,3,2,1,LT : 62 m²,LB : 60 m²,Cilodong,133
"1,9 Miliar",3,2,LT:300 m²,LB : 150 m²,,Cinangka,133
550 Juta,2,1,1,LT : 60 m²,LB : 30 m²,Sawangan,133
900 Juta,2,1,1,LT : 80 m²,LB : 55 m²,Limo,133
550 Juta,2,1,1,LT : 83 m²,LB : 46 m²,Sawangan,133
630 Juta,2,3,1,LT : 66 m²,LB : 58 m²,Sawangan,133
"3,7 Miliar",4,3,2,LT : 150 m²,LB : 220 m²,Cinere,133
960 Juta,4,2,LT:45 m²,LB : 53 m²,,Beji,133
"5,67 Miliar Total",LT:378 m²,,,,,Pancoran Mas,133
350 Juta,2,1,1,LT : 84 m²,LB : 45 m²,Sawangan,133
"5,5 Miliar Total",LT:2252 m²,,,,,Tapos,133
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,133
"4,4 Miliar Total",LT:400 m²,,,,,Cibubur,134
560 Juta,1,1,LB:22 m²,,,Sukmajaya,134
650 Juta,3,2,LT:90 m²,LB : 74 m²,,Sukmajaya,134
790 Juta,3,3,1,LT : 55 m²,LB : 55 m²,Pancoran Mas,134
780 Juta Total,LT:1000 m²,,,,,Cilodong,134
"2,1 Miliar",2,2,LT:85 m²,LB : 89 m²,,Cimanggis,134
940 Juta,2,2,1,LT : 65 m²,LB : 78 m²,Bojong Sari,134
872 Juta,2,1,1,LT : 55 m²,LB : 55 m²,Pancoran Mas,134
100 Juta Total,LT:5 m²,LB:5 m²,,,,Pancoran Mas,134
500 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Cimanggis,134
19 Miliar,4,4,LT:3400 m²,LB : 500 m²,,Depok I,134
"1,8 Miliar",3,2,1,LT : 128 m²,LB : 115 m²,Limo,134
"1,25 Miliar",3,2,1,LT : 104 m²,LB : 190 m²,Tanah Baru,134
675 Juta,2,1,1,LT : 74 m²,LB : 52 m²,Cinere,134
"1,4 Miliar",5,4,2,LT : 132 m²,LB : 260 m²,Limo,134
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,134
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,134
290 Juta,2,1,1,LT : 50 m²,LB : 36 m²,Cipayung,134
"2,8 Miliar",4,3,1,LT : 263 m²,LB : 240 m²,Cimanggis,134
5 Miliar,4,3,1,LT : 265 m²,LB : 320 m²,Pangkalan Jati,134
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,135
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,135
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,135
700 Juta,1,1,LB:23 m²,,,Margonda,135
"1,4 Miliar",2,2,1,LT : 116 m²,LB : 100 m²,Krukut,135
"3,5 Miliar",4,4,LT:250 m²,LB : 200 m²,,Cinere,135
185 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,135
"19,8 Triliun Total",LT:2100 m²,,,,,Limo,135
"5,2 Miliar",4,3,2,LT : 162 m²,LB : 202 m²,Cimanggis,135
"2,6 Miliar",3,3,LT:120 m²,LB : 115 m²,,Cinere,135
900 Juta Total,LT:360 m²,,,,,Tapos,135
"33,2 Miliar Total",LT:2657 m²,,,,,Sawangan,135
697 Juta,3,1,1,LT : 60 m²,LB : 73 m²,Sawangan,135
930 Miliar Total,LT:1000 m²,,,,,Grand Depok City,135
900 Juta,3,2,1,LT : 75 m²,LB : 90 m²,Tanah Baru,135
"1,81 Miliar Total",LT:1510 m²,,,,,Citayam,135
"1,6 Miliar",3,3,2,LT : 105 m²,LB : 100 m²,Sukmajaya,135
"3,2 Miliar",3,2,LT:178 m²,LB : 156 m²,,Pangkalan Jati,135
"2,85 Miliar",3,2,2,LT : 169 m²,LB : 200 m²,Cinere,135
"4,1 Miliar",3,3,2,LT : 105 m²,LB : 152 m²,Cinere,135
"1,7 Miliar",5,5,1,LT : 90 m²,LB : 140 m²,Margonda,136
175 Juta,2,1,LT:35 m²,LB : 32 m²,,Citayam,136
"1,85 Miliar",5,2,LT:120 m²,LB : 250 m²,,Sukmajaya,136
"1,7 Miliar",5,5,1,LT : 90 m²,LB : 140 m²,Margonda,136
"5,2 Miliar",4,3,2,LT : 386 m²,LB : 356 m²,Cinere,136
"1,22 Miliar",3,2,2,LT : 72 m²,LB : 79 m²,Sukmajaya,136
"1,6 Miliar",3,2,LT:72 m²,LB : 82 m²,,Pancoran Mas,136
"1,3 Miliar",3,2,LT:63 m²,LB : 75 m²,,Beji,136
"1,8 Miliar",3,2,LT:84 m²,LB : 95 m²,,Pancoran Mas,136
2 Miliar,3,3,1,LT : 257 m²,LB : 180 m²,Beji,136
"2,8 Miliar",4,3,LT:144 m²,LB : 140 m²,,Pancoran Mas,136
"1,95 Miliar",4,3,1,LT : 148 m²,LB : 135 m²,Sukmajaya,136
650 Juta,1,1,LB:35 m²,,,Depok I,136
650 Juta,1,1,LB:35 m²,,,Depok I,136
"14,4 Miliar Total",LT:2059 m²,,,,,Beji,136
675 Juta,2,1,LT:90 m²,LB : 60 m²,,Sawangan,136
"1,7 Miliar",5,2,1,LT : 144 m²,LB : 220 m²,Tapos,136
"1,7 Miliar",3,2,1,LT : 208 m²,LB : 200 m²,Cimanggis,136
650 Juta,3,1,LT:86 m²,LB : 86 m²,,Grand Depok City,136
575 Juta Total,LT:136 m²,,,,,Depok I,136
"2,35 Miliar",4,3,2,LT : 150 m²,LB : 225 m²,Cinere,137
"4,5 Miliar",4,4,2,LT : 250 m²,LB : 400 m²,Cinere,137
5 Miliar,5,4,2,LT : 483 m²,LB : 615 m²,Cinere,137
9 Miliar,5,7,2,LT : 826 m²,LB : 950 m²,Cinere,137
"5,3 Miliar",4,3,LT:450 m²,LB : 300 m²,,Cinere,137
800 Juta,2,1,LB:40 m²,,,Cinere,137
"7,5 Miliar",4,4,4,LT : 428 m²,LB : 492 m²,Cinere,137
"4,8 Miliar",4,3,1,LT : 380 m²,LB : 300 m²,Cinere,137
"5,5 Miliar",5,3,2,LT : 375 m²,LB : 500 m²,Cinere,137
"5,75 Miliar",4,4,LT:300 m²,LB : 400 m²,,Cinere,137
3 Miliar,4,3,2,LT : 163 m²,LB : 280 m²,Cinere,137
2 Miliar Total,LT:200 m²,,,,,Cinere,137
"4,7 Miliar",4,2,2,LT : 523 m²,LB : 400 m²,Cimanggis,137
12 Juta Total,LT:585 m²,,,,,Cinere,137
"2,2 Miliar",4,2,LT:150 m²,LB : 200 m²,,Cinere,137
5 Miliar,4,5,LT:375 m²,LB : 400 m²,,Cinere,137
"4,2 Miliar",4,3,1,LT : 280 m²,LB : 240 m²,Cinere,137
"2,75 Miliar",4,3,1,LT : 135 m²,LB : 200 m²,Cinere,137
"1,85 Miliar",4,3,LT:154 m²,LB : 250 m²,,Cinere,137
"2,2 Miliar",3,2,LT:120 m²,LB : 220 m²,,Cinere,137
"2,5 Miliar",3,3,LT:158 m²,LB : 250 m²,,Cinere,138
"1,77 Miliar",4,2,1,LT : 148 m²,LB : 152 m²,Cinere,138
"1,8 Miliar Total",LT:270 m²,,,,,Cinere,138
250 Juta,1,1,LB:23 m²,,,Cimanggis,138
"1,3 Miliar",2,2,1,LT : 131 m²,LB : 90 m²,Depok I,138
655 Juta,3,2,LT:49 m²,LB : 70 m²,,Limo,138
"1,6 Miliar",3,2,1,LT : 98 m²,LB : 110 m²,Cibubur,138
"3,65 Miliar",4,3,5,LT : 719 m²,LB : 250 m²,Limo,138
1 Miliar,4,3,2,LT : 77 m²,LB : 120 m²,Limo,138
"1,97 Miliar",3,3,1,LT : 95 m²,LB : 120 m²,Cipayung,138
600 Juta,2,1,LT:84 m²,LB : 45 m²,,Pancoran Mas,138
875 Juta,2,2,1,LT : 73 m²,LB : 53 m²,Cimanggis,138
"2,5 Miliar",6,4,LT:143 m²,LB : 200 m²,,Pancoran Mas,138
870 Juta,2,1,LT:90 m²,LB : 45 m²,,Cimanggis,138
"2,47 Miliar",3,3,LT:120 m²,LB : 160 m²,,Beji,138
869 Juta,2,1,2,LT : 90 m²,LB : 45 m²,Cimanggis,138
899 Juta,2,2,1,LT : 86 m²,LB : 70 m²,Depok I,138
"7,5 Miliar",2,3,1,LT : 628 m²,LB : 500 m²,Sawangan,138
"18,5 Miliar",LT:2816 m²,LB:782 m²,,,,Sukmajaya,138
"1,25 Miliar",3,3,LT:64 m²,LB : 120 m²,,Tanah Baru,138
"1,14 Miliar",3,2,2,LT : 60 m²,LB : 75 m²,Limo,139
"1,3 Miliar",4,3,2,LT : 73 m²,LB : 100 m²,Tanah Baru,139
5 Miliar Total,LT:800 m²,,,,,Cimanggis,139
390 Juta,2,1,1,LT : 50 m²,LB : 32 m²,Cilodong,139
525 Juta,2,1,1,LT : 72 m²,LB : 45 m²,Sawangan,139
653 Juta,2,2,2,LT : 78 m²,LB : 54 m²,Limo,139
"4,5 Miliar",5,4,4,LT : 477 m²,LB : 250 m²,Pangkalan Jati,139
"1,4 Miliar",3,3,2,LT : 104 m²,LB : 105 m²,Cilodong,139
850 Juta,3,2,2,LT : 72 m²,LB : 52 m²,Limo,139
650 Juta,2,1,1,LT : 62 m²,LB : 36 m²,Cimanggis,139
675 Juta,2,2,1,LT : 84 m²,LB : 50 m²,Cilodong,139
"1,2 Miliar Total",LT:131 m²,,,,,Cinere,139
"2,8 Miliar Total",4,2,LT:100 m²,LB : 300 m²,,Margonda,139
762 Juta,3,2,1,LT : 52 m²,LB : 60 m²,Rangkapanjaya,139
617 Juta,3,2,1,LT : 42 m²,LB : 45 m²,Kelapa Dua,139
"1,2 Miliar Total",LT:131 m²,,,,,Cinere,139
550 Juta,2,2,1,LT : 72 m²,LB : 60 m²,Sawangan,139
469 Juta,3,2,2,LT : 48 m²,LB : 72 m²,Cilodong,139
"7,5 Miliar Total",LT:1 m²,LB:700 m²,,,,Tapos,139
"2,2 Miliar",5,4,LT:172 m²,LB : 172 m²,,Grand Depok City,139
"2,03 Miliar",3,3,2,LT : 111 m²,LB : 88 m²,Cibubur,140
927 Juta,3,2,1,LT : 50 m²,LB : 80 m²,Cisalak,140
599 Juta,3,2,1,LT : 51 m²,LB : 60 m²,Depok II,140
"1,06 Miliar",2,2,2,LT : 54 m²,LB : 85 m²,Sawangan,140
630 Juta,2,1,1,LT : 56 m²,LB : 40 m²,Kukusan,140
"2,03 Miliar",3,2,2,LT : 111 m²,LB : 88 m²,Cimanggis,140
775 Juta,2,2,2,LT : 77 m²,LB : 60 m²,Sawangan,140
509 Juta,2,2,1,LT : 50 m²,LB : 45 m²,Cimanggis,140
799 Juta,2,2,2,LT : 72 m²,LB : 45 m²,Limo,140
600 Juta,2,2,2,LT : 46 m²,LB : 50 m²,Limo,140
"3,5 Miliar",8,4,1,LT : 800 m²,LB : 301 m²,Limo,140
693 Juta,3,1,1,LT : 100 m²,LB : 50 m²,Sawangan,140
650 Juta,2,1,1,LT : 85 m²,LB : 60 m²,Cilodong,140
762 Juta,3,2,1,LT : 52 m²,LB : 60 m²,Rangkapanjaya,140
900 Juta,2,1,1,LT : 84 m²,LB : 45 m²,Depok I,140
1 Miliar,2,1,1,LT : 83 m²,LB : 83 m²,Sawangan,140
"1,5 Miliar",3,2,2,LT : 72 m²,LB : 80 m²,Depok I,140
"1,7 Miliar",5,3,1,LT : 210 m²,LB : 150 m²,Depok I,140
"3,5 Miliar",6,4,1,LT : 270 m²,LB : 300 m²,Cinere,140
20 Miliar Total,LT:2304 m²,,,,,Pancoran Mas,140
"4,3 Miliar",3,3,2,LT : 198 m²,LB : 225 m²,Cinere,141
"5,3 Miliar",4,4,2,LT : 297 m²,LB : 450 m²,Cibubur,141
"2,8 Miliar",3,2,1,LT : 200 m²,LB : 150 m²,Cibubur,141
"8,1 Miliar Total",LT:1402 m²,,,,,Cinere,141
"6,2 Miliar",4,4,2,LT : 300 m²,LB : 450 m²,Cibubur,141
650 Juta,1,1,LB:26 m²,,,Margonda,141
923 Juta,3,2,2,LT : 83 m²,LB : 83 m²,Sawangan,141
374 Juta Total,LT:107 m²,,,,,Bojong Sari,141
"1,5 Miliar Total",2,LT:52 m²,LB:86 m²,,,Sawangan,141
"3,2 Miliar",19,19,2,LT : 315 m²,LB : 350 m²,Tugu,141
"8,1 Miliar Total",LT:2312 m²,,,,,Sawangan,141
"1,2 Miliar",3,2,LT:65 m²,LB : 78 m²,,Sawangan,141
38 Miliar Total,1,LT:2341 m²,LB:1000 m²,,,Cimanggis,141
450 Juta,1,1,LB:19 m²,,,Harjamukti,141
"3,8 Miliar",5,3,LT:280 m²,LB : 260 m²,,Cimanggis,141
"1,2 Miliar",2,2,2,LT : 100 m²,LB : 70 m²,Tanah Baru,141
7 Miliar Total,3,LT:705 m²,LB:250 m²,,,Tapos,141
300 Juta,1,1,LB:24 m²,,,Margonda,141
"2,3 Miliar",5,4,2,LT : 160 m²,LB : 270 m²,Mekarsari,141
"35,8 Miliar Total",LT:1430 m²,,,,,Margonda,141
374 Juta Total,LT:107 m²,,,,,Depok I,142
600 Juta,1,1,LB:23 m²,,,Margonda,142
"8,8 Miliar",6,5,4,LT : 596 m²,LB : 700 m²,Cinere,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,142
10 Miliar,9,7,LT:1133 m²,LB : 500 m²,,Cibubur,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,142
"1,35 Miliar",4,4,2,LT : 58 m²,LB : 140 m²,Beji,142
"4,5 Miliar",3,3,3,LT : 665 m²,LB : 300 m²,Cinere,142
"2,7 Miliar",3,3,10,LT : 228 m²,LB : 204 m²,Cinere,142
9 Miliar,5,5,2,LT : 826 m²,LB : 950 m²,Cinere,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,142
"59,3 Miliar Total",LT:1976 m²,,,,,Margonda,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,142
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,142
2 Miliar Total,LT:285 m²,,,,,Cinere,142
375 Juta Total,LT:107 m²,,,,,Depok I,142
374 Juta Total,LT:107 m²,,,,,Sawangan,142
"15,3 Miliar Total",LT:1800 m²,,,,,Pancoran Mas,142
"1,75 Miliar",3,2,1,LT : 78 m²,LB : 106 m²,Cinere,143
"1,9 Miliar",5,2,1,LT : 109 m²,LB : 218 m²,Cinere,143
"1,4 Miliar",3,3,1,LT : 67 m²,LB : 90 m²,Cinere,143
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,143
"1,15 Miliar",3,2,1,LT : 112 m²,LB : 110 m²,Sawangan,143
12 Miliar Total,35,LT:420 m²,LB:400 m²,,,Depok I,143
"1,6 Miliar",5,2,1,LT : 102 m²,LB : 180 m²,Cinere,143
"1,8 Miliar",3,2,2,LT : 180 m²,LB : 100 m²,Cinere,143
323 Juta Total,LT:77 m²,,,,,Sawangan,143
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,143
8 Miliar,3,3,LT:500 m²,LB : 400 m²,,Cibubur,143
"1,15 Miliar",3,2,1,LT : 112 m²,LB : 110 m²,Sawangan,143
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,143
365 Juta,3,2,1,LT : 76 m²,LB : 40 m²,Sawangan,143
900 Juta,3,2,2,LT : 80 m²,LB : 70 m²,Cimanggis,143
360 Juta,2,1,1,LT : 70 m²,LB : 40 m²,Sawangan,143
365 Juta,2,1,1,LT : 70 m²,LB : 40 m²,Sawangan,143
1 Miliar,3,2,2,LT : 121 m²,LB : 81 m²,Cimanggis,143
"4,95 Miliar",5,2,LT:480 m²,LB : 161 m²,,Pangkalan Jati,143
"60,9 Miliar Total",LT:6093 m²,,,,,Sawangan,143
780 Juta,3,2,LT:150 m²,LB : 80 m²,,Sawangan,144
277 Juta,2,1,1,LT : 50 m²,LB : 36 m²,Sawangan,144
"1,66 Miliar",2,1,LT:99 m²,LB : 69 m²,,Beji,144
"4,3 Miliar",LT:198 m²,LB:185 m²,,,,Depok II,144
950 Juta,3,3,1,LT : 61 m²,LB : 75 m²,Beji,144
800 Juta,1,2,LT:70 m²,LB : 70 m²,,Pancoran Mas,144
690 Juta,2,2,1,LT : 55 m²,LB : 60 m²,Kukusan,144
600 Juta,1,LB:23 m²,,,,Margonda,144
630 Juta,2,1,1,LT : 79 m²,LB : 44 m²,Sawangan,144
"6,5 Miliar",5,5,1,LT : 350 m²,LB : 247 m²,Cinere,144
"5,9 Miliar Total",3,LT:300 m²,LB:200 m²,,,Limo,144
"1,9 Miliar Total",LT:240 m²,,,,,Cinere,144
"2,9 Miliar",4,4,1,LT : 500 m²,LB : 400 m²,Citayam,144
"1,01 Miliar",3,2,1,LT : 60 m²,LB : 65 m²,Bojong Sari,144
14 Miliar Total,7,LT:1050 m²,LB:597 m²,,,Tanah Baru,144
"5,2 Miliar",3,3,2,LT : 480 m²,LB : 225 m²,Cinere,144
990 Juta,2,1,1,LT : 96 m²,LB : 60 m²,Cimanggis,144
925 Juta,3,2,2,LT : 84 m²,LB : 84 m²,Sawangan,144
650 Juta,1,1,LB:33 m²,,,Cimanggis,144
"2,5 Miliar",6,3,2,LT : 210 m²,LB : 200 m²,Cimanggis,144
"3,4 Miliar",7,5,1,LT : 322 m²,LB : 351 m²,Cinere,145
"1,2 Miliar Total",2,LT:45 m²,LB:50 m²,,,Depok I,145
850 Juta,3,1,LT:72 m²,LB : 45 m²,,Cipayung,145
825 Juta,3,1,LT:72 m²,LB : 84 m²,,Limo,145
"104,5 Miliar Total",LT:19000 m²,,,,,Margonda,145
500 Juta,2,1,LT:59 m²,LB : 45 m²,,Cipayung,145
"1,1 Miliar",3,2,LT:90 m²,LB : 120 m²,,Grand Depok City,145
"8,8 Miliar",6,5,4,LT : 596 m²,LB : 700 m²,Cinere,145
"1,1 Miliar Total",2,LT:93 m²,LB:90 m²,,,Pancoran Mas,145
375 Juta,3,1,1,LT : 75 m²,LB : 50 m²,Pasir Putih,145
"1,2 Miliar",2,1,1,LT : 150 m²,LB : 70 m²,Sawangan,145
55 Juta Total,2,LT:87 m²,LB:90 m²,,,Rangkapanjaya,145
675 Juta,2,1,1,LT : 74 m²,LB : 52 m²,Sawangan,145
"1,55 Miliar",2,2,1,LT : 108 m²,LB : 852 m²,Cinere,145
"4,3 Miliar",4,3,1,LT : 443 m²,LB : 120 m²,Tanah Baru,145
555 Juta,3,1,1,LT : 60 m²,LB : 60 m²,Citayam,145
815 Juta,3,2,1,LT : 48 m²,LB : 86 m²,Sawangan,145
"10,9 Miliar",10,5,2,LT : 1761 m²,LB : 400 m²,Tanah Baru,145
775 Juta,3,2,LT:78 m²,LB : 54 m²,,Cimanggis,145
"1,8 Miliar",3,3,2,LT : 98 m²,LB : 95 m²,Cibubur,145
70 Juta,2,1,1,LT : 67 m²,LB : 45 m²,Sawangan,146
730 Juta,3,2,1,LT : 63 m²,LB : 72 m²,Sawangan,146
380 Juta,2,2,1,LT : 60 m²,LB : 36 m²,Sawangan,146
"2,7 Miliar",3,2,1,LT : 124 m²,LB : 160 m²,Cimanggis,146
699 Juta,1,1,1,LT : 81 m²,LB : 24 m²,Depok I,146
950 Juta,3,2,2,LT : 89 m²,LB : 90 m²,Rangkapanjaya,146
550 Juta,1,LB:25 m²,,,,Margonda,146
770 Juta,3,2,LT:87 m²,LB : 90 m²,,Rangkapanjaya,146
"2,5 Miliar",4,4,1,LT : 162 m²,LB : 140 m²,Cinere,146
"1,68 Miliar",4,3,2,LT : 100 m²,LB : 175 m²,Pancoran Mas,146
152 Miliar Total,LT:25077 m²,LB:9636 m²,,,,Cimanggis,146
320 Juta,3,1,1,LT : 75 m²,LB : 50 m²,Cinere,146
580 Juta,2,1,1,LT : 65 m²,LB : 45 m²,Cipayung,146
"1,5 Miliar",3,3,2,LT : 75 m²,LB : 74 m²,Beji,146
999 Juta,3,2,2,LT : 84 m²,LB : 84 m²,Sawangan,146
385 Juta,3,1,1,LT : 75 m²,LB : 50 m²,Pasir Putih,146
"8,5 Miliar Total",3,LT:135 m²,LB:313 m²,,,Cimanggis,146
750 Juta,2,1,1,LT : 106 m²,LB : 45 m²,Sawangan,146
"4,2 Miliar Total",3,LT:75 m²,LB:225 m²,,,Cimanggis,146
9 Miliar Total,2,LT:630 m²,LB:500 m²,,,Cimanggis,146
"1,65 Miliar",3,2,1,LT : 114 m²,LB : 185 m²,Cinere,147
900 Juta,3,2,1,LT : 59 m²,LB : 72 m²,Beji,147
"3,3 Miliar",7,5,2,LT : 287 m²,LB : 400 m²,Cibubur,147
